"Name","Location","Type","Data Type","EOL Comment"
"engine_speed_period_0","40000000","Data Label","undefined2",""
"engine_speed_period_3","40000010","Data Label","undefined2",""
"digital_input_config","40000138","Data Label","struct_digital_input_cfg[14]","Digital input config. Runtime state -- log to observe this behavior."
"digital_input_gpio_pins","40000180","Data Label","uint8_t[14]","Digital input gpio pins. Runtime state -- log to observe this behavior."
"vin_in_memory","40001330","Data Label","byte[17]","Stored Vehicle Identification Number. Identity\, not a logging channel."
"obd_ii_ecu_shutdown_timer","40001350","Data Label","undefined4",""
"event_timer_1hz","40001356","Data Label","undefined2",""
"event_timer_10hz","40001358","Data Label","undefined1",""
"event_timer_50hz","40001359","Data Label","undefined1",""
"event_timer_2z","4000135a","Data Label","undefined1",""
"event_timer_2s","4000135b","Data Label","undefined1",""
"event_timer_3s","4000135c","Data Label","undefined1",""
"event_timer_5s","4000135d","Data Label","undefined1",""
"event_timer_10s","4000135e","Data Label","undefined1",""
"event_timer_1000hz","4000135f","Data Label","undefined1",""
"event_timer_200hz","40001360","Data Label","undefined1",""
"etpu_task_timing_capture_holdoff","40001361","Data Label","undefined1",""
"ign_cyl_enabled","40001368","Data Label","bool[6]","Ignition cylinder enabled. Log spark advance to confirm the timing strategy and headroom to knock."
"engine_running_confirm_timer","4000136e","Data Label","undefined2",""
"knock_sensor_b1_dc_bias","40001388","Data Label","u16_voltage_5/1023v","Bank-1 knock-sensor DC bias / noise floor. Log to check knock-sensor health and the detection baseline. (V; raw*5/1023)"
"knock_sensor_b2_dc_bias","4000138a","Data Label","u16_voltage_5/1023v","Bank-2 knock-sensor DC bias / noise floor. Log to check knock-sensor health. (V; raw*5/1023)"
"fuel_level_stable_counter","4000138c","Data Label","undefined1",""
"ign_comp_iat","40001390","Data Label","undefined2",""
"ign_comp_coolant","40001392","Data Label","i16_angle_1/4deg",""
"ign_temp_engine_air_comp","40001394","Data Label","undefined2",""
"ign_comp_rpm","40001396","Data Label","undefined2",""
"ign_adv_adj_coolant_factor","40001398","Data Label","undefined1",""
"ign_comp_temp_raw","4000139a","Data Label","undefined2",""
"ign_retard_recovery_step","4000139c","Data Label","undefined1",""
"inj_warmup_factor","400013a0","Data Label","u8_factor_1/64",""
"cranking_enrichment_coolant","400013a1","Data Label","u8_factor_1/32",""
"inj_cranking_comp_air_temp","400013a2","Data Label","u8_factor_1/32",""
"inj_pulse_time_b1","400013a4","Data Label","u16_time_us",""
"inj_pulse_time_b2","400013a6","Data Label","u16_time_us",""
"inj_comp_iat","400013a8","Data Label","u8_factor_1/128",""
"post_start_soak_time_counter","400013aa","Data Label","undefined2",""
"engine_runtime_post_start_counter","400013ac","Data Label","undefined2",""
"relay_enable_delay_timer","400013b0","Data Label","undefined1",""
"exhaust_flap_commanded_state","400013b4","Data Label","undefined2",""
"flexcan_a_tx_102_timer","400013b6","Data Label","undefined1",""
"engine_speed_unknown","400013b7","Data Label","undefined1",""
"inj_tip_apply_adj","400013b8","Data Label","bool","Injector tip apply adj. Log to verify injector pulse width and fuel delivery vs target."
"stft_bank_1","400013c8","Data Label","undefined1",""
"stft_bank_2","400013c9","Data Label","undefined1",""
"obd_ltft_bank_1","400013ca","Data Label","undefined1",""
"obd_ltft_bank_2","400013cb","Data Label","undefined1",""
"o2_closedloop_warmup_timer","400013f0","Data Label","undefined1",""
"idle_control_timer_10hz","400013fa","Data Label","undefined1",""
"knock_buffer_size","40001400","Data Label","uint8_t","Knock buffer size. Log to catch knock events and see how much timing is being pulled."
"knock_sensitivity","40001401","Data Label","undefined1",""
"knock_peak_threshold","40001402","Data Label","undefined1",""
"accel_pedal_mode","40001428","Data Label","enum_accel_pedal_mode","Pedal-interpretation mode (drive map). Log to see which response map is active."
"cruise_override_timer","4000142e","Data Label","undefined1",""
"cruise_timer_unknown","40001430","Data Label","undefined2",""
"tps_warmup_limit_timer","40001470","Data Label","undefined1",""
"throttle_actuator_activity","40001471","Data Label","bool","Throttle actuator activity. Runtime state -- log to observe this behavior."
"lfb_tps_max","40001472","Data Label","undefined2",""
"lfb_requires_init","40001479","Data Label","bool","Long-term fuel requires init. Log to track long-term fuel learning and spot a developing fuel fault."
"knock_sampling_active","40001480","Data Label","bool","Knock sampling active. Log to catch knock events and see how much timing is being pulled."
"knock_agc_reference_level???","40001482","Data Label","undefined1",""
"air_temp_intake","400014a0","Data Label","u8_temp_5/8-40c","Intake-air temperature. Log it to see charge-air heating and its effect on fueling and timing pull. (deg C; raw*5/8-40)"
"ambient_air_temp_unscaled","400014a1","Data Label","undefined1",""
"torque_request1","400014a2","Data Label","undefined2",""
"torque_request2","400014a4","Data Label","undefined2",""
"torque_request3","400014a6","Data Label","undefined2",""
"cruise_min_engage_gear","400014b2","Data Label","enum_t6e_gear","Cruise min engage gear. Log to debug cruise engagement and speed holding."
"cruise_rpm_factor_high_scaler","400014b3","Data Label","undefined1",""
"cruise_rpm_factor_low_scaler","400014b4","Data Label","undefined1",""
"torque_limit_tps_current","400014c0","Data Label","undefined2",""
"torque_limit_external_request","400014c2","Data Label","u16_torque_nm","Torque limit external gross. Log to follow the ECU torque estimate and any torque limiting. (Nm)"
"torque_external_request_tps_based","400014c4","Data Label","u16_torque_nm","Torque limit tps2. Log to follow the ECU torque estimate and any torque limiting. (Nm)"
"torque_limit_external_tc_fast","400014c6","Data Label","u16_torque_nm","Torque limit external traction-control fast. Log to follow the ECU torque estimate and any torque limiting. (Nm)"
"torque_limit_external_esp_fast","400014c8","Data Label","u16_torque_nm","Torque limit external ESP fast. Log to follow the ECU torque estimate and any torque limiting. (Nm)"
"torque_limit_external_tc_slow","400014ca","Data Label","u16_torque_nm","Torque limit external traction-control slow. Log to follow the ECU torque estimate and any torque limiting. (Nm)"
"torque_limit_tcu_0xc7_raw","400014cc","Data Label","u16_torque_nm",""
"torque_requested_during_shift_raw","400014d0","Data Label","u16_torque_nm",""
"torque_requested_during_shift_scaled","400014d2","Data Label","u16_torque_nm",""
"torque_reduction_factor_ign","400014da","Data Label","u8_factor_1/255","Torque reduction factor ignition. Log spark advance to confirm the timing strategy and headroom to knock. (0-1; raw/255)"
"torque_spark_efficiency_slope","400014dc","Data Label","undefined2",""
"torque_spark_efficiency_current","400014de","Data Label","undefined1",""
"torque_spark_efficiency_at_limit","400014df","Data Label","u8_factor_1/255","Torque spark efficiency at limit. Log to follow the ECU torque estimate and any torque limiting. (0-1; raw/255)"
"torque_efficiency_factor_at_limit","400014e0","Data Label","undefined1",""
"torque_to_tps_cal","400014e2","Data Label","undefined2",""
"tps_trqmodel_factor2","400014e4","Data Label","undefined2",""
"torque_cruise_request","400014e6","Data Label","u16_torque_nm","Torque cruise request. Log to follow the ECU torque estimate and any torque limiting. (Nm)"
"torque_limit_arbitrated_fast","400014e8","Data Label","u16_torque_nm",""
"torque_limit_arbitrated_slow","400014ea","Data Label","u16_torque_nm",""
"torque_limit_0xb7_fast_validated","400014ec","Data Label","u16_torque_nm",""
"torque_limit_0xb7_slow_validated","400014ee","Data Label","u16_torque_nm",""
"torque_limit_arbitrary_end_of_pass_unuised","400014f0","Data Label","u16_torque_nm",""
"torque_limit_tcu_0xc7_validated","400014f2","Data Label","u16_torque_nm",""
"torque_limit_ips_shift_fast","400014f4","Data Label","u16_torque_nm",""
"torque_limit_ips_shift_slow","400014f6","Data Label","u16_torque_nm",""
"torque_task_rate_divider","400014f8","Data Label","undefined1",""
"ac_10hz_timer","40001500","Data Label","u8_time_5ms","A/C 10hz timer. Log to see A/C clutch engagement and its load/idle impact. (ms; raw*5)"
"ac_compressor_soft_engage_timer","40001503","Data Label","undefined1",""
"speed_limit_target_ramped","40001514","Data Label","u16_speed_1/100kph","Speed limit target ramped. Log vehicle speed for speed-based logic and limiters. (km/h; raw/100)"
"revlimit_car_speed_limit","40001516","Data Label","u16_speed_1/100kph","Revlimit car speed limit. Log to confirm where and how the rev limiter intervenes. (km/h; raw/100)"
"yaw_sensor_can_status_flags","40001518","Data Label","undefined1",""
"steering_angle_rate","40001520","Data Label","undefined1",""
"p0316_eval_tc_request_state","40001521","Data Label","enum_p0316_eval_tc_request_state","P0316 eval traction-control request state. Runtime state -- log to observe this behavior."
"flash_driver_init_status","40001538","Data Label","pointer",""
"flash_erase_pending_flags","40001560","Data Label","undefined1",""
"crank_cycle_position","40001564","Data Label","undefined2",""
"ecu_unlocked","40001568","Data Label","bool","Flag: ECU is in unlocked/dev mode. Log to know when privileged access is active."
"addr","40001578","Data Label","void *","Addr. Runtime state -- log to observe this behavior."
"diag_test_trim_unknown","4000157c","Data Label","undefined1",""
"inj_bank_balance_test_trim","4000157d","Data Label","undefined1",""
"vvt_exhaust_fallback_angle_zero","4000157e","Data Label","undefined1",""
"afr_target_trim_0p02_steps","4000157f","Data Label","undefined1",""
"vvt_intake_fallback_angle_zero","40001580","Data Label","undefined1",""
"inj_angle_test_trim","40001581","Data Label","undefined1",""
"ign_comp_vvt_raw","40001582","Data Label","undefined1",""
"inj_efficiency_test_trim","40001583","Data Label","undefined1",""
"timer_main","40001584","Data Label","undefined4",""
"tps_rate_filtered_for_ign_comp","40001588","Data Label","undefined2",""
"ecu_run_timer","4000158a","Data Label","ushort","ECU run timer. Mostly housekeeping/diagnostic state."
